-3.842404365539550781e+00,-5.146711468696594238e-01
2.303600692749023438e+01,1.078011035919189453e+00
5.864746570587158203e+00,1.491304755210876465e+00
-3.921078920364379883e+00,1.632051706314086914e+00
-9.616672515869140625e+00,1.680046319961547852e+00
-1.201703929901123047e+01,1.695123791694641113e+00
-1.464714908599853516e+01,1.693503499031066895e+00
-1.563823223114013672e+01,1.677626132965087891e+00
-1.619163513183593750e+01,1.662737131118774414e+00
-1.623050117492675781e+01,1.641650080680847168e+00
-1.697322082519531250e+01,1.613530635833740234e+00
-1.612639045715332031e+01,1.589900135993957520e+00
-1.625747489929199219e+01,1.570434331893920898e+00
-1.695063781738281250e+01,1.544943332672119141e+00
